run,method,source_url,optimizer_step,elapsed_gpu_hours,metric,reward_unsmoothed,reward_ema8
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,78,168.60728377154666,weighted,5.106046676635742,4.959401926556504
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,79,171.54982535488,weighted,5.083363056182861,4.9696901991152735
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,80,172.88693988592888,weighted,5.083363056182861,4.979124586649257
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,81,175.83410936131557,weighted,5.040789604187012,4.984242533780604
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,82,177.17394632672887,weighted,5.040789604187012,4.988935711992957
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,83,180.11403201176,weighted,5.065411567687988,4.995282898808107
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,84,181.44646469048,weighted,5.065411567687988,5.001103294780576
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,85,184.39138577522667,weighted,5.099257946014404,5.00924973397364
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,86,185.7524723553867,weighted,5.099257946014404,5.0167200516514
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,87,188.69453017637335,weighted,5.12546443939209,5.025745396158061
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,88,190.03432227050666,weighted,5.12546443939209,5.034021673561984
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,89,192.97600629287112,weighted,5.132530689239502,5.042197523571105
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,90,194.31851147986666,weighted,5.132530689239502,5.049694811086105
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,91,197.2673674187111,weighted,5.145578861236572,5.0576527995697536
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,92,198.60653043509336,weighted,5.145578861236572,5.064950307185036
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,93,201.55051129724447,weighted,5.173003196716309,5.073918260136184
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,94,202.88595860231112,weighted,5.173003196716309,5.082141909251655
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,95,205.82963499807113,weighted,5.191390037536621,5.091209062186764
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,96,207.1731311031289,weighted,5.191390037536621,5.099523678088614
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,97,210.11320870936,weighted,5.237353324890137,5.110962981499669
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,98,211.45724462324443,weighted,5.237353324890137,5.121452868979051
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,99,214.4000773607289,weighted,5.229677200317383,5.1304350509070105
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,100,215.73288352558222,weighted,5.229677200317383,5.138671748051749
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,101,218.67986511670222,weighted,5.227184295654297,5.146017931628415
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,102,220.01817393042668,weighted,5.227184295654297,5.152754411670341
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,103,222.95829400005334,weighted,5.291778564453125,5.164292854248209
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,104,224.30530919363554,weighted,5.291778564453125,5.174873652744398
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,105,227.25171046501333,weighted,5.318648338317871,5.186806370336516
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,106,228.59075225099556,weighted,5.318648338317871,5.197748720614908
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,107,231.53373030835556,weighted,5.312380790710449,5.207262718951917
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,108,232.88196052812444,weighted,5.312380790710449,5.215987093893996
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,109,235.82328636563554,weighted,5.299017906188965,5.22287831560391
